Ulasan,Term,TF,IDF,TF-IDF
 ulasan1,aplikasi,1,2.1805085649909692,0.05913700930913261
 ulasan1,bayar,2,1.9704370952441121,0.10687943052862431
 ulasan1,beli,1,3.9269293536299625,0.10650123621178392
 ulasan1,bikin,1,5.102928305913492,0.13839519989773227
 ulasan1,coba,3,4.015876839646459,0.3267406739833002
 ulasan1,error,2,5.425701698176543,0.2942981073178878
 ulasan1,ga,1,3.1183660024238997,0.08457239851079813
 ulasan1,kali,3,3.641910398597665,0.29631393235887926
 ulasan1,kecewa,1,3.4332715334863373,0.09311287004158243
 ulasan1,konfirmasi,1,5.697635413660185,0.15452409768409303
 ulasan1,kredivo,3,1.8514851523827467,0.15064095108376624
 ulasan1,kuota,1,5.831166806284708,0.1581455680765886
 ulasan1,masuk,1,3.9815877661678263,0.1079836128935226
 ulasan1,mengerti,1,6.860786223465865,0.1860696102180869
 ulasan1,muncul,1,5.174387269895637,0.14033321999363157
 ulasan1,nyata,2,5.00448823310024,0.2714508642432406
 ulasan1,pertanggungjawaban,1,7.7770769553400205,0.21092009437151113
 ulasan1,rat,1,7.7770769553400205,0.21092009437151113
 ulasan1,ribu,1,4.481240089335692,0.12153455443115889
 ulasan1,rugi,2,5.334729919970816,0.2893636631418864
 ulasan1,sukses,2,3.970414465569701,0.21536116939075875
 ulasan1,sumpah,1,6.167639042905921,0.16727094465561423
 ulasan1,telkomsel,2,7.083929774780075,0.3842428576180768
 ulasan1,tulis,1,5.762173934797756,0.1562744302379695
 ulasan1,uang,1,4.113515309210374,0.11156158569596855
 ulasan2,akun,2,2.842603022209329,0.32277926691136344
 ulasan2,baik,1,5.138019625724763,0.2917125949719596
 ulasan2,basic,1,5.985317486111966,0.33981818342285525
 ulasan2,dipake,1,5.00448823310024,0.2841313103739615
 ulasan2,jelek,1,5.251348311031766,0.29814686484320463
 ulasan2,kecewa,1,3.4332715334863373,0.194925014155699
 ulasan2,kredivo,1,1.8514851523827467,0.10511862112193453
 ulasan2,lebih,1,5.138019625724763,0.2917125949719596
 ulasan2,limit,2,2.2436874666125006,0.2547720487148859
 ulasan2,pakai,3,2.6802639650027125,0.45651835535592317
 ulasan2,premium,1,4.311341052540294,0.24477767269490788
 ulasan2,sistem,1,4.250716430723859,0.2413356917299614
 ulasan3,bantu,1,2.535329940280379,0.1591992156034107
 ulasan3,bunga,1,3.5874222133135953,0.2252625164575688
 ulasan3,cair,1,4.3758795736778655,0.2747715729762033
 ulasan3,cepat,1,3.1570181568581788,0.19823645287049546
 ulasan3,data,1,3.9928873214217595,0.25072260594723633
 ulasan3,kasih,1,2.612290981416507,0.1640317769147556
 ulasan3,kredivo,1,1.8514851523827467,0.11625902383659698
 ulasan3,layan,1,4.166159042695797,0.2616027370397713
 ulasan3,lengkap,1,5.90527477843843,0.3708058259849354
 ulasan3,moga,1,3.68273239311792,0.23124726251479816
 ulasan3,mudah,1,3.142347967110385,0.19731527781414612
 ulasan3,rendah,1,4.538398503175641,0.2849765114679132
 ulasan3,sdh,1,4.2217288938506075,0.2650920961856921
 ulasan3,terima,1,2.860752340715006,0.17963323883087368
 ulasan3,top,1,5.174387269895637,0.32491171326780477
 ulasan3,up,1,5.4744918623459755,0.343755972927276
 ulasan4,kredivo,1,1.8514851523827467,1.0
 ulasan5,aju,1,3.5950268126988147,0.15983567366396603
 ulasan5,aplikasi,1,2.1805085649909692,0.0969458848496711
 ulasan5,bantu,1,2.535329940280379,0.11272132033444367
 ulasan5,belanja,2,3.4595888418037104,0.3076281440665642
 ulasan5,bunga,1,3.5874222133135953,0.15949757152203273
 ulasan5,fasilitas,1,6.5243139868446525,0.29007241826374563
 ulasan5,kasih,1,2.612290981416507,0.11614302495495488
 ulasan5,kredit,1,3.90587594443213,0.1736560936405154
 ulasan5,kredivo,2,1.8514851523827467,0.16463486478854247
 ulasan5,lancar,1,3.76974377010755,0.16760362757443473
 ulasan5,moga,1,3.68273239311792,0.16373508283689875
 ulasan5,mudah,2,3.142347967110385,0.2794189475502869
 ulasan5,online,1,4.756652069195658,0.21148178510920082
 ulasan5,pinjam,2,2.9648925999676035,0.26363953914511834
 ulasan5,tenor,2,4.359350271726655,0.38763532163786296
 ulasan5,terima,1,2.860752340715006,0.12718967100573286
 ulasan5,tetep,1,5.069026754237811,0.22537003151752175
 ulasan5,tingkat,1,4.409781125353547,0.1960598275350267
 ulasan5,turun,1,4.538398503175641,0.20177818411486384
 ulasan5,uang,2,4.113515309210374,0.3657755698801575
 ulasan6,aplikasi,2,2.1805085649909692,0.12472581867776
 ulasan6,bank,1,5.831166806284708,0.1667723450935978
 ulasan6,bayar,1,1.9704370952441121,0.05635483019952438
 ulasan6,bukti,2,5.762173934797756,0.32959827487963866
 ulasan6,cari,1,5.762173934797756,0.16479913743981933
 ulasan6,dana,1,4.359350271726655,0.12467814625311376
 ulasan6,hubung,1,5.251348311031766,0.15018943923713088
 ulasan6,jt,1,4.462890950667495,0.12763942697328393
 ulasan6,kasik,1,7.7770769553400205,0.22242570053347685
 ulasan6,konsumen,1,4.499932222347844,0.1286988135332299
 ulasan6,kredivo,4,1.8514851523827467,0.21181113902353485
 ulasan6,lumayan,1,4.83263797617358,0.13821425369039525
 ulasan6,masuk,2,3.9815877661678263,0.22774815093408843
 ulasan6,mau,2,5.525785156733526,0.31607675776951505
 ulasan6,merchant,2,5.251348311031766,0.30037887847426176
 ulasan6,nominal,1,5.63701079184375,0.1612194506355887
 ulasan6,notifikasi,1,5.831166806284708,0.1667723450935978
 ulasan6,pakai,1,2.6802639650027125,0.07665599729227547
