Tokenizing,Stemming
"['kenapa', 'akun', 'kredivo', 'saya', 'tidak', 'bisa', 'digunakan', 'untuk', 'transaksi', 'padahal', 'limit', 'masih', 'banyak', 'dan', 'tidak', 'pernah', 'telat', 'bayar', 'kecewa', 'saya', 'pada', 'akhirnya', 'semoga', 'bisa', 'terselesaikan', 'tim', 'analis', 'lah', 'yg', 'ini', 'dan', 'itu', 'pembayaran', 'tidak', 'sah', 'lakukan', 'secara', 'berkala', 'ujung', 'nya', 'begitu', 'di', 'perbaiki', 'sistemnya']",kenapa akun kredivo saya tidak bisa guna untuk transaksi padahal limit masih banyak dan tidak pernah telat bayar kecewa saya pada akhir moga bisa selesai tim analis lah yg ini dan itu bayar tidak sah laku cara kala ujung nya begitu di baik sistem
"['terus', 'terang', 'jt', 'buat', 'limit', 'bulan', 'tidak', 'mencukupi', 'teransaksi', 'gak', 'terhitung', 'semua', 'pembayaran', 'litrik', 'air', 'indihome', 'sampai', 'keperluan', 'sehari', 'bahkan', 'sudah', 'langganan', 'semuanya', 'serba', 'otomatis', 'mungkin', 'sudah', 'lebih', 'mengajukan', 'kenaikan', 'limit', 'tapi', 'di', 'tolak', 'terus', 'katanya', 'kalau', 'sering', 'transaksi', 'limitnya', 'otomatis', 'naik', 'tapi', 'sampai', 'sekarang', 'gak', 'berubah', 'score', 'level', 'kredi', 'juga', 'jawara', 'flexibel', 'udah', 'mentok', 'semua', 'tapi', 'limit', 'gk', 'kunjung', 'naik', 'sy', 'hanya', 'ingin', 'limit', 'bulan', 'aja', 'yg', 'tinggi']",terus terang jt buat limit bulan tidak cukup teransaksi gak hitung semua bayar litrik air indihome sampai perlu hari bahkan sudah langgan semua serba otomatis mungkin sudah lebih aju naik limit tapi di tolak terus kata kalau sering transaksi limit otomatis naik tapi sampai sekarang gak ubah score level kredi juga jawara flexibel udah mentok semua tapi limit gk kunjung naik sy hanya ingin limit bulan aja yg tinggi
"['akhirnya', 'naik', 'limit', 'juga', 'mau', 'beli', 'kuota', 'ng', 'ribet', 'lagi']",akhir naik limit juga mau beli kuota ng ribet lagi
"['udah', 'download', 'dan', 'isi', 'data', 'tapi', 'tidak', 'bisa', 'mengajukan', 'pinjaman', 'harus', 'nunggu', 'berbulan', 'bulan', 'mungkin', 'saya', 'tidak', 'ditakdirkan', 'untuk', 'pinjol', 'karena', 'saya', 'baru', 'pertama', 'kalinya', 'pinjam', 'online', 'dan', 'itupun', 'tidak', 'di', 'acc', 'tolong', 'data', 'saya', 'dihapus', 'di', 'apk', 'ini', 'jangan', 'disalah', 'gunakan', 'saya', 'bisa', 'laporkan', 'ke', 'pihak', 'berwajib', 'apabila', 'data', 'saya', 'disalahgunakan', 'diapk', 'ini']",udah download dan isi data tapi tidak bisa aju pinjam harus nunggu bulan bulan mungkin saya tidak takdir untuk pinjol karena saya baru pertama kali pinjam online dan itu tidak di acc tolong data saya hapus di apk ini jangan salah guna saya bisa lapor ke pihak wajib apabila data saya disalahgunakan diapk ini
"['wah', 'makin', 'keren', 'aja', 'nih', 'kredivo', 'untuk', 'cicilan', 'bulan', 'bila', 'masih', 'ada', 'limitnya', 'kita', 'masih', 'bisa', 'untuk', 'belanja', 'ayo', 'teman', 'jangan', 'ragu', 'pake', 'kredivo']",wah makin keren aja nih kredivo untuk cicil bulan bila masih ada limit kita masih bisa untuk belanja ayo teman jangan ragu pake kredivo
"['belum', 'waktunya', 'jatuh', 'tempo', 'akun', 'saya', 'sudah', 'di', 'tangguhkan', 'dan', 'ketika', 'saya', 'bayar', 'malah', 'akun', 'saya', 'di', 'blokir', 'permanen', 'dah', 'mending', 'yang', 'belum', 'lolos', 'registrasi', 'di', 'kredivo', 'mending', 'jangan', 'di', 'tunggu', 'mending', 'di', 'uninstal', 'saja', 'lagian', 'sudah', 'beberapa', 'kali', 'melakukan', 'pinjaman', 'limit', 'ga', 'naik', 'juga', 'sampah', 'mending', 'blokir', 'aja', 'kredivo']",belum waktu jatuh tempo akun saya sudah di tangguh dan ketika saya bayar malah akun saya di blokir permanen dah mending yang belum lolos registrasi di kredivo mending jangan di tunggu mending di uninstal saja lagi sudah beberapa kali laku pinjam limit ga naik juga sampah mending blokir aja kredivo
"['kenapa', 'tiba', 'tiba', 'akun', 'saya', 'terkunci', 'sementara', 'gara', 'gara', 'beberapa', 'kali', 'salah', 'melakukan', 'kredensial', 'padahal', 'saya', 'tidak', 'melakukan', 'apa', 'apa', 'pin', 'yg', 'saya', 'masukkan', 'juga', 'benar', 'kenapa', 'dianggap', 'salah', 'kalo', 'error', 'terus', 'bagaimana', 'nanti', 'kalo', 'mau', 'bayar', 'tagihan', 'tidak', 'bisa', 'pasti', 'dianggap', 'buruk', 'skor', 'kreditnya']",kenapa tiba tiba akun saya kunci sementara gara gara beberapa kali salah laku kredensial padahal saya tidak laku apa apa pin yg saya masuk juga benar kenapa anggap salah kalo error terus bagaimana nanti kalo mau bayar tagih tidak bisa pasti anggap buruk skor kredit
"['kereenn', 'pertahankan', 'divo', 'utamakan', 'pelanggam', 'lama', 'yg', 'riwayat', 'pembayarannya', 'baik']",kereenn tahan divo utama langgam lama yg riwayat bayar baik
"['aplikasi', 'taikk', 'gua', 'sering', 'kaga', 'telat', 'bayar', 'berkali', 'kali', 'limit', 'malah', 'kaga', 'di', 'naikin', 'asalkan', 'gua', 'baru', 'telat', 'bayar', 'hari', 'langsung', 'di', 'blokir', 'permanen', 'mending', 'dapet', 'limitnya', 'ribu', 'atau', 'juta', 'ini', 'mah', 'limitnya', 'cuma', 'udah', 'kaya', 'taiikk', 'nih', 'aplikasi', 'nyesel', 'gua', 'bayar', 'kalau', 'tau', 'di', 'blokir', 'permanen', 'kaya', 'gini', 'emang', 'bener', 'aplikasi', 'taiikk']",aplikasi taikk gua sering kaga telat bayar kali kali limit malah kaga di naikin asal gua baru telat bayar hari langsung di blokir permanen mending dapet limit ribu atau juta ini mah limit cuma udah kaya taiikk nih aplikasi nyesel gua bayar kalau tau di blokir permanen kaya gin emang bener aplikasi taiikk
"['proses', 'cepat', 'tanpa', 'ribet']",proses cepat tanpa ribet
"['aplikasi', 'parah', 'telat', 'dikit', 'aja', 'langsung', 'ditelp', 'berkali', 'dan', 'cukup', 'mengganggu', 'setiap', 'menit', 'ditelp', 'padahal', 'klo', 'telat', 'pun', 'kena', 'denda', 'dan', 'aplikasi', 'diblokir']",aplikasi parah telat dikit aja langsung ditelp kali dan cukup ganggu tiap menit ditelp padahal klo telat pun kena denda dan aplikasi blokir
"['trimakasih', 'sudah', 'menaikkan', 'limit', 'saya', 'dn', 'semoga', 'limit', 'naik', 'makin', 'naik', 'terus', 'tolong', 'naikkan', 'saya', 'limit', 'lgi', 'agar', 'bisa', 'beli', 'barang', 'yg', 'agak', 'mahal', 'karna', 'biar', 'bisa', 'jg', 'suksesin', 'misi', 'kredivo', 'dan', 'belanja', 'kebutuhan', 'seperti', 'elektronik', 'dll', 'skrg', 'limit', 'saya', 'jt', 'tolong', 'naikkan', 'atasnya', 'trimakasih', 'pemilik', 'kredivo', 'dan', 'team', 'kredivo', 'trimakasih', 'banyak']",trimakasih sudah naik limit saya dn moga limit naik makin naik terus tolong naik saya limit lgi agar bisa beli barang yg agak mahal karna biar bisa jg suksesin misi kredivo dan belanja butuh seperti elektronik dll skrg limit saya jt tolong naik atas trimakasih milik kredivo dan team kredivo trimakasih banyak
"['pas', 'banget', 'saat', 'di', 'butuhkan', 'untuk', 'cicilan', 'bener', 'sampai', 'bulan', 'bahkan', 'untuk', 'belanja', 'di', 'mercart', 'lain', 'pun', 'sma', 'bisa', 'di', 'cicil', 'sampai', 'bulan', 'kredivo', 'bener', 'bagus', 'dan', 'sangat', 'membantu', 'terima', 'kasih', 'kredivo', 'selalu', 'tingkatkan', 'lebih', 'baik', 'lagi']",pas banget saat di butuh untuk cicil bener sampai bulan bahkan untuk belanja di mercart lain pun sma bisa di cicil sampai bulan kredivo bener bagus dan sangat bantu terima kasih kredivo selalu tingkat lebih baik lagi
"['alhamdulillah', 'terima', 'kasih', 'banyak', 'bisa', 'membantu', 'saya', 'dengan', 'adanya', 'kredivo', 'aplikasi', 'ini', 'tapi', 'kenapa', 'limit', 'saya', 'tetep', 'aja', 'gak', 'nambah', 'pada', 'hal', 'bayar', 'tepat', 'waktu', 'alhamdulillah', 'tapi', 'tetep', 'aja', 'gak', 'naik', 'limitnya', 'makasih']",alhamdulillah terima kasih banyak bisa bantu saya dengan ada kredivo aplikasi ini tapi kenapa limit saya tetep aja gak nambah pada hal bayar tepat waktu alhamdulillah tapi tetep aja gak naik limit makasih
"['transaksi', 'ku', 'slalu', 'sukses', 'dan', 'limit', 'ku', 'bertambah', 'jadi', 'jt', 'saya', 'sangat', 'terbantu', 'dgn', 'adanya', 'kredivo', 'dan', 'transaksi', 'belanjanya', 'mudah', 'bisa', 'dipakai', 'dimana', 'trimakasih', 'kredivo', 'sukses', 'slalu']",transaksi ku slalu sukses dan limit ku tambah jadi jt saya sangat bantu dgn ada kredivo dan transaksi belanja mudah bisa pakai mana trimakasih kredivo sukses slalu
"['ini', 'gimana', 'yaa', 'aku', 'jarang', 'buka', 'akun', 'nya', 'kok', 'harus', 'ngisi', 'data', 'lagi', 'data', 'yg', 'dulu', 'di', 'kemanain', 'tolong', 'data', 'saya', 'di', 'hapus', 'saja', 'di', 'kasih', 'limit', 'juga', 'dikit', 'gk', 'kepikiran', 'buat', 'belanja', 'tapi', 'pas', 'buka', 'aplikasi', 'nya', 'harus', 'ngisi', 'data', 'lagi', 'teu', 'lieurr', 'mah', 'hapus', 'data', 'saya']",ini gimana yaa aku jarang buka akun nya kok harus ngisi data lagi data yg dulu di kemanain tolong data saya di hapus saja di kasih limit juga dikit gk pikir buat belanja tapi pas buka aplikasi nya harus ngisi data lagi teu lieurr mah hapus data saya
"['sebagai', 'nasabah', 'lama', 'apl', 'ini', 'kredivo', 'saya', 'mengucapkan', 'terima', 'kasih', 'banyak', 'karena', 'akun', 'saya', 'sudah', 'beralih', 'ke', 'premium', 'tapi', 'sayang', 'nya', 'kenapa', 'score', 'nya', 'gak', 'berubah', 'masih', 'tetap', 'di', 'score', 'padahal', 'saya', 'gak', 'pernah', 'telat', 'terlambat', 'dalam', 'pembayaran', 'trmksh']",bagai nasabah lama apl ini kredivo saya ucap terima kasih banyak karena akun saya sudah alih ke premium tapi sayang nya kenapa score nya gak ubah masih tetap di score padahal saya gak pernah telat lambat dalam bayar trmksh
"['saya', 'setiap', 'menggunakan', 'ris', 'untuk', 'transaksi', 'kadang', 'gagal', 'membuat', 'proses', 'pembayaran', 'tertunda', 'cukup', 'lama', 'disaat', 'itu', 'limit', 'saya', 'tinggi', 'dan', 'ris', 'gagal', 'di', 'siang', 'menjelang', 'sore', 'tolong', 'diperbaiki', 'dengan', 'kejadian', 'yg', 'saya', 'alami', 'tersebut']",saya tiap guna ris untuk transaksi kadang gagal buat proses bayar tunda cukup lama saat itu limit saya tinggi dan ris gagal di siang jelang sore tolong baik dengan jadi yg saya alami sebut
"['masalah', 'yg', 'selalu', 'tidak', 'berubah', 'dari', 'dulu', 'adalah', 'saat', 'mau', 'buka', 'aplikasi', 'gak', 'pernah', 'bisa', 'krn', 'alasan', 'koneksi', 'data', 'ke', 'server', 'tidak', 'stabil', 'padahal', 'jaringan', 'lancar', 'banget', 'kadang', 'klu', 'buka', 'tengah', 'malam', 'baru', 'bisa', 'sudah', 'lapor', 'ke', 'cs', 'ttp', 'aja', 'gak', 'ada', 'jalan', 'keluar', 'sebenarnya', 'sy', 'suka', 'sama', 'aplikasi', 'ini', 'tp', 'yg', 'buat', 'emosi', 'krn', 'selalu', 'tidak', 'bisa', 'di', 'buka']",masalah yg selalu tidak ubah dari dulu adalah saat mau buka aplikasi gak pernah bisa krn alas koneksi data ke server tidak stabil padahal jaring lancar banget kadang klu buka tengah malam baru bisa sudah lapor ke cs ttp aja gak ada jalan keluar benar sy suka sama aplikasi ini tp yg buat emosi krn selalu tidak bisa di buka
['terbaik'],baik
"['sangat', 'terbantu', 'dengan', 'apk', 'ini', 'bunga', 'ringan', 'buat', 'belanja', 'online', 'pertama', 'pakai', 'memang', 'risih', 'sama', 'cs', 'nya', 'belum', 'jtp', 'udah', 'ditlp', 'tapi', 'sekarang', 'udah', 'ga', 'lagi', 'semoga', 'kredivo', 'memberikan', 'pelayan', 'yg', 'lebih', 'baik', 'lagi']",sangat bantu dengan apk ini bunga ringan buat belanja online pertama pakai memang risih sama cs nya belum jtp udah ditlp tapi sekarang udah ga lagi moga kredivo beri layan yg lebih baik lagi
"['cepat', 'persetujuan', 'nya', 'dan', 'memudahkan', 'bertransaksi', 'tanpa', 'uang', 'tunai', 'pembayaran', 'pinjaman', 'mudah', 'dan', 'cepat', 'memberikan', 'notifikasi', 'nya', 'cucok', 'banget', 'recomended', 'sdh', 'lama', 'menggunakan', 'kredivo', 'semoga', 'pelayanan', 'terus', 'dijaga']",cepat tuju nya dan mudah transaksi tanpa uang tunai bayar pinjam mudah dan cepat beri notifikasi nya cucok banget recomended sdh lama guna kredivo moga layan terus jaga
"['angsuran', 'eingan', 'proses', 'cepat', 'semoga', 'aman', 'rekomended', 'utk', 'teman', 'senang', 'pakai', 'aplikasi', 'ini', 'nyaman', 'dan', 'sangat', 'membantu', 'sukses', 'terus', 'kredivo', 'terus', 'membantu', 'kita', 'semua']",angsur eingan proses cepat moga aman rekomended utk teman senang pakai aplikasi ini nyaman dan sangat bantu sukses terus kredivo terus bantu kita semua
"['bagus', 'aplikasinya', 'saya', 'pas', 'lagi', 'bingung', 'pas', 'nemu', 'aplikasi', 'ini', 'ngerasa', 'kebantu', 'banget', 'maaf', 'saya', 'mau', 'tanya', 'ini', 'ada', 'yg', 'wa', 'saya', 'katanya', 'ada', 'perbaikan', 'data', 'dana', 'yg', 'sudah', 'saya', 'pinjam', 'harus', 'fi', 'kembalikan', 'dulu', 'apakah', 'benar', 'kl', 'tidak', 'saya', 'akan', 'dilaporkan', 'atau', 'di', 'beclis', 'tolong', 'bantuanya', 'aoakah', 'benar', 'dari', 'tadi', 'nelpon', 'terus']",bagus aplikasi saya pas lagi bingung pas nemu aplikasi ini ngerasa bantu banget maaf saya mau tanya ini ada yg wa saya kata ada baik data dana yg sudah saya pinjam harus fi kembali dulu apakah benar kl tidak saya akan lapor atau di beclis tolong bantuanya aoakah benar dari tadi nelpon terus
"['beli', 'pulsa', 'token', 'listrik', 'top', 'up', 'ewalet', 'selalu', 'di', 'tolak', 'padahal', 'sudah', 'tidak', 'ada', 'tagihan', 'mendingan', 'saya', 'tutup', 'akun', 'permanen', 'kalau', 'gitu', 'selalu', 'muncul', 'keterangan', 'perbanyak', 'transaksi', 'anda', 'mau', 'perbanyak', 'transaksi', 'bagaiman', 'kalau', 'beli', 'pulsa', 'aja', 'selalu', 'di', 'tolak', 'itu', 'bintan', 'kalau', 'bisa', 'di', 'ilangin', 'sya', 'kasi', 'nol', 'bintang', 'jadi', 'curhat', 'sya', 'hahhahahaha']",beli pulsa token listrik top up ewalet selalu di tolak padahal sudah tidak ada tagih mending saya tutup akun permanen kalau gitu selalu muncul terang banyak transaksi anda mau banyak transaksi bagaiman kalau beli pulsa aja selalu di tolak itu bintan kalau bisa di ilangin sya kasi nol bintang jadi curhat sya hahhahahaha
"['bisa', 'membantu']",bisa bantu
"['mantabpp', 'goodd', 'jos']",mantabpp goodd jos
"['terimakasih', 'kredivo', 'sudah', 'membantu', 'dengan', 'baik', 'dan', 'cepat', 'tangap', 'sangat', 'bisa', 'di', 'butuhkan', 'dalam', 'keadaan', 'urgent']",terimakasih kredivo sudah bantu dengan baik dan cepat tangap sangat bisa di butuh dalam ada urgent
"['sy', 'atas', 'nm', 'jainul', 'ada', 'apa', 'dengan', 'apk', 'saya', 'tiba', 'di', 'tutup', 'lalu', 'di', 'minta', 'daftar', 'ulang', 'sdh', 'kasi', 'semua', 'data', 'saya', 'terus', 'respon', 'dari', 'kredivo', 'tunggu', 'bln', 'kan', 'saya', 'sedang', 'pembayaran', 'cicilan', 'bagai', 'mana', 'pembayaran', 'saya', 'gak', 'bisa', 'melihat', 'di', 'apk', 'kalau', 'memang', 'gak', 'di', 'setujui', 'pengajuan', 'dari', 'awal', 'jd', 'kami', 'sebagai', 'cs', 'tdk', 'terjebak', 'jd', 'waspada', 'hal', 'ini', 'karna', 'di', 'minta', 'kembali', 'data', 'saya', 'mohon', 'di', 'bantu', 'untuk', 'bisa', 'aktif', 'kembali', 'apk', 'saya', 'kalau', 'tdk', 'dikasi', 'pinjam', 'lg', 'gk', 'masalah', 'bagi', 'saya', 'tapi', 'setelah', 'selesai', 'pembayara']",sy atas nm jainul ada apa dengan apk saya tiba di tutup lalu di minta daftar ulang sdh kasi semua data saya terus respon dari kredivo tunggu bln kan saya sedang bayar cicil bagai mana bayar saya gak bisa lihat di apk kalau memang gak di tuju aju dari awal jd kami bagai cs tdk jebak jd waspada hal ini karna di minta kembali data saya mohon di bantu untuk bisa aktif kembali apk saya kalau tdk kasi pinjam lg gk masalah bagi saya tapi telah selesai pembayara
"['kredivo', 'ini', 'kurang', 'bagus', 'iya', 'masa', 'aku', 'ada', 'tagihan', 'pulsa', 'senilai', 'sedang', 'aku', 'tidak', 'pernah', 'beli', 'atau', 'hutang', 'pulsa', 'atau', 'data', 'lewat', 'kredivo', 'malah', 'ada', 'tagihan', 'terus', 'kemarin', 'aku', 'bayar', 'cicilan', 'udah', 'sesuai', 'nominal', 'malah', 'di', 'tagih', 'lagi', 'katanya', 'masih', 'kurang', 'padahal', 'aku', 'bayar', 'nya', 'sudah', 'sesuai', 'tagihan', 'apa', 'perlu', 'di', 'laporkan', 'ke', 'polisi', 'dulu', 'apa', 'di', 'viralkan', 'dulu', 'seharusnya', 'kalau', 'punya', 'aplikasi', 'itu', 'harus', 'amanah', 'jangan', 'cari', 'untung', 'aja', 'kayak', 'gini', 'kan', 'yang', 'di', 'rugikan', 'yang', 'punya', 'cicilan']",kredivo ini kurang bagus iya masa aku ada tagih pulsa nila sedang aku tidak pernah beli atau hutang pulsa atau data lewat kredivo malah ada tagih terus kemarin aku bayar cicil udah sesuai nominal malah di tagih lagi kata masih kurang padahal aku bayar nya sudah sesuai tagih apa perlu di lapor ke polisi dulu apa di viralkan dulu harus kalau punya aplikasi itu harus amanah jangan cari untung aja kayak gin kan yang di rugi yang punya cicil
"['sangat', 'membatu']",sangat batu
"['cara', 'kerja', 'yg', 'profesional']",cara kerja yg profesional
"['kredivo', 'kenapa', 'sih', 'tiba', 'tiba', 'ga', 'bisa', 'transaksi', 'padahal', 'ga', 'pernah', 'telat', 'udh', 'setahun', 'pake', 'baru', 'kali', 'ini', 'kaya', 'gini', 'tolong', 'dong', 'padahal', 'udh', 'update', 'aneh', 'tibatiba', 'ga', 'bisa', 'biasanya', 'bisa', 'bisa', 'aja', 'padahal', 'cmn', 'untuk', 'pulsa']",kredivo kenapa sih tiba tiba ga bisa transaksi padahal ga pernah telat udh tahun pake baru kali ini kaya gin tolong dong padahal udh update aneh tibatiba ga bisa biasa bisa bisa aja padahal cmn untuk pulsa
"['suka', 'pakai', 'kredivo', 'karena', 'cepat', 'dan', 'sangat', 'efektif', 'yg', 'penting', 'pembyaran', 'lancar', 'dan', 'tepat', 'waktu', 'cicilan', 'lama', 'tenor', 'tinggi', 'pokoknya', 'ok', 'banget', 'salam', 'hangat']",suka pakai kredivo karena cepat dan sangat efektif yg penting pembyaran lancar dan tepat waktu cicil lama tenor tinggi pokok ok banget salam hangat
"['bingung', 'kenapa', 'nggak', 'ada', 'tunggakan', 'nggak', 'ada', 'cicilan', 'nggak', 'ada', 'telat', 'sebelum', 'tgl', 'sudah', 'bayar', 'ehh', 'mau', 'pengajuan', 'alasannya', 'macam', 'padahal', 'sudah', 'dilunasi', 'gimana', 'konsumen', 'mau', 'senang', 'kalau', 'kaya', 'gini']",bingung kenapa nggak ada tunggak nggak ada cicil nggak ada telat belum tgl sudah bayar ehh mau aju alas macam padahal sudah lunas gimana konsumen mau senang kalau kaya gin
"['sangat', 'membantu', 'di', 'saat', 'terjangan', 'kebutuhan', 'yg', 'sangat', 'banyak', 'bang', 'divo', 'kredivo', 'memberi', 'solusi', 'kesempatan', 'untuk', 'membantu', 'kebutuhan', 'rekan', 'sekalian', 'di', 'saat', 'kepepet', 'seperti', 'saya', 'ini', 'disclaimer', 'di', 'peruntukan', 'untuk', 'yang', 'sudah', 'berpenghasilan', 'sudah', 'bekerja', 'ya', 'gaes', 'sekian', 'terima', 'kasih']",sangat bantu di saat terjang butuh yg sangat banyak bang divo kredivo beri solusi sempat untuk bantu butuh rekan sekali di saat pepet seperti saya ini disclaimer di untuk untuk yang sudah hasil sudah kerja ya gaes sekian terima kasih
"['cukup', 'membantu']",cukup bantu
"['dulu', 'susah', 'banget', 'sekarang', 'gampang', 'mudah', 'dan', 'cepat', 'tapi', 'kalau', 'bisa', 'krediflaz', 'nya', 'jangan', 'hanya', 'kasih', 'sekali', 'saja', 'pokoknya', 'kredivo', 'mantap', 'lah', 'apa', 'benar', 'kredivo', 'mengeluarkan', 'kartu', 'fisik', 'seperti', 'kartu', 'atm', 'gak', 'nyesal', 'pakai', 'kredivo']",dulu susah banget sekarang gampang mudah dan cepat tapi kalau bisa krediflaz nya jangan hanya kasih sekali saja pokok kredivo mantap lah apa benar kredivo keluar kartu fisik seperti kartu atm gak nyesal pakai kredivo
