Stemming,negasi
baru ini akun di blokir permanen saya konfirmasi ke cs kredivo kata ada isu transaksi isu transaksi di mana yaa padahal saya cuma ambil pinjam saja dan beli hp di shopee lantas bayar lambat bulan ketika di lunas malah di blokir permanen kok tim analis sensitif sekali yaa mungkin ada baik saya tidak boleh hutang kali yaa,"['baru', 'ini', 'akun', 'di', 'blokir', 'permanen', 'saya', 'konfirmasi', 'ke', 'cs', 'kredivo', 'kata', 'ada', 'isu', 'transaksi', 'isu', 'transaksi', 'di', 'mana', 'yaa', 'padahal', 'saya', 'cuma', 'ambil', 'pinjam', 'saja', 'dan', 'beli', 'hp', 'di', 'shopee', 'lantas', 'bayar', 'lambat', 'bulan', 'ketika', 'di', 'lunas', 'malah', 'di', 'blokir', 'permanen', 'kok', 'tim', 'analis', 'sensitif', 'sekali', 'yaa', 'mungkin', 'ada', 'baik', 'saya', 'tidak_boleh', 'hutang', 'kali', 'yaa']"
transaksi saya pinjam tidak kirim kirim sudah jam lebih gimana saya mau make uang gak dikiirim udh keluar tagih aplikasi apa ini gak tak bayar gak orng dpt kirim pinjeman aja engga,"['transaksi', 'saya', 'pinjam', 'tidak_kirim', 'kirim', 'sudah', 'jam', 'lebih', 'gimana', 'saya', 'mau', 'make', 'uang', 'tidak_dikiirim', 'udh', 'keluar', 'tagih', 'aplikasi', 'apa', 'ini', 'tidak_', 'tidak_bayar', 'tidak_orng', 'dpt', 'kirim', 'pinjeman', 'aja', 'engga']"
cepet bnget transaksi,"['cepet', 'bnget', 'transaksi']"
app yg mudah di guna cair mudah dan cepat tenor bnyk pilih sgt bantu pada saat ada perlu desak mantap,"['app', 'yg', 'mudah', 'di', 'guna', 'cair', 'mudah', 'dan', 'cepat', 'tenor', 'bnyk', 'pilih', 'sgt', 'bantu', 'pada', 'saat', 'ada', 'perlu', 'desak', 'mantap']"
kenapa performa kredivo turun di awal tahun ini padahal saya sering pinjam kesini dan update di aplikasi cepet ko sekarang malah slow respon tidak terupdate bikin kepala langgan pada sakit saya sudah aju by email dan dm tpi pihak adminnya slow mohon kembali sistem yg dulu cepat update fast respon trims,"['kenapa', 'performa', 'kredivo', 'turun', 'di', 'awal', 'tahun', 'ini', 'padahal', 'saya', 'sering', 'pinjam', 'kesini', 'dan', 'update', 'di', 'aplikasi', 'cepet', 'ko', 'sekarang', 'malah', 'slow', 'respon', 'tidak_terupdate', 'bikin', 'kepala', 'langgan', 'pada', 'sakit', 'saya', 'sudah', 'aju', 'by', 'email', 'dan', 'dm', 'tpi', 'pihak', 'adminnya', 'slow', 'mohon', 'kembali', 'sistem', 'yg', 'dulu', 'cepat', 'update', 'fast', 'respon', 'trims']"
cukup bintang yg bicara,"['cukup', 'bintang', 'yg', 'bicara']"
jujur dari semua aplikasi dian cicil dan pinjam cuma kredivo yg paling bagus mantap dan mudah bisa bayar double kapan pun karna invoicex langsung keluar beda sama aplikasi yang lain thanks kredivo,"['jujur', 'dari', 'semua', 'aplikasi', 'dian', 'cicil', 'dan', 'pinjam', 'cuma', 'kredivo', 'yg', 'paling', 'bagus', 'mantap', 'dan', 'mudah', 'bisa', 'bayar', 'double', 'kapan', 'pun', 'karna', 'invoicex', 'langsung', 'keluar', 'beda', 'sama', 'aplikasi', 'yang', 'lain', 'thanks', 'kredivo']"
aplikasi ini mantap dengan di acc nya saya di aplikasi ini jadi saya sedikit bantu jika ada butuh desak seperti isi paket pulsa dan belanja online cuman saja saya sedikit kecewa akun saya belum naik limit dan juga belum bisa pinjam uang,"['aplikasi', 'ini', 'mantap', 'dengan', 'di', 'acc', 'nya', 'saya', 'di', 'aplikasi', 'ini', 'jadi', 'saya', 'sedikit', 'bantu', 'jika', 'ada', 'butuh', 'desak', 'seperti', 'isi', 'paket', 'pulsa', 'dan', 'belanja', 'online', 'cuman', 'saja', 'saya', 'sedikit', 'kecewa', 'akun', 'saya', 'belum', 'naik', 'limit', 'dan', 'juga', 'belum', 'bisa', 'pinjam', 'uang']"
sudah di lunasin kenapa akun kreditvo di tangguh cara permanen dan tidak bisa di pakai lagi padahal limit sudah di atas jt solusi bagaimana biar bisa pakai kembali,"['sudah', 'di', 'lunasin', 'kenapa', 'akun', 'kreditvo', 'di', 'tangguh', 'cara', 'permanen', 'dan', 'tidak_bisa', 'di', 'pakai', 'lagi', 'padahal', 'limit', 'sudah', 'di', 'atas', 'jt', 'solusi', 'bagaimana', 'biar', 'bisa', 'pakai', 'kembali']"
aplikasi sudah cukup baik tetapi tolong update soal limit tidak bisa di guna dengan terang akun di lindung saya tidak pernah telat bayar,"['aplikasi', 'sudah', 'cukup', 'baik', 'tetapi', 'tolong', 'update', 'soal', 'limit', 'tidak_bisa', 'di', 'guna', 'dengan', 'terang', 'akun', 'di', 'lindung', 'saya', 'tidak_pernah', 'telat', 'bayar']"
aplikasi nya bagus dan mudah proses nya tapi kenapa ya saya ga bisa buka aplikasi kredivo nya tiap kali masuk ke aplikasi langsung keluar cara otomatis mohon bantu nya,"['aplikasi', 'nya', 'bagus', 'dan', 'mudah', 'proses', 'nya', 'tapi', 'kenapa', 'ya', 'saya', 'ga', 'bisa', 'buka', 'aplikasi', 'kredivo', 'nya', 'tiap', 'kali', 'masuk', 'ke', 'aplikasi', 'langsung', 'keluar', 'cara', 'otomatis', 'mohon', 'bantu', 'nya']"
oke,['oke']
aplikasi sangat bantu saat saat lagi genting nggak perlu repot repot sama kredivo benar saya kasi bintang tapi bintang cuman,"['aplikasi', 'sangat', 'bantu', 'saat', 'saat', 'lagi', 'genting', 'nggak', 'perlu', 'repot', 'repot', 'sama', 'kredivo', 'benar', 'saya', 'kasi', 'bintang', 'tapi', 'bintang', 'cuman']"
mantaf,['mantaf']
puas,['puas']
saya ga ngerti kenapa limit saya udah jt malah jadi dan saya gabisa pinjam lagi juga susah naikin level nya padahal saya belum pernah ada telat bayar dan lain lain,"['saya', 'ga', 'ngerti', 'kenapa', 'limit', 'saya', 'udah', 'jt', 'malah', 'jadi', 'dan', 'saya', 'gabisa', 'pinjam', 'lagi', 'juga', 'susah', 'naikin', 'level', 'nya', 'padahal', 'saya', 'belum', 'pernah', 'ada', 'telat', 'bayar', 'dan', 'lain', 'lain']"
saya atas nama jemmy philips korwa mohon agar semua data data saya yang data pada aplikasi ini agar segera di hapus atau di hilang agar tidak hambat saya aju pinjam atau dapat mengunakan aplikasi lain karena di aplikasi ini saya sering sekali alami kendala dalam sms atau wa kode ubah password yang tidak pernah di kirim ke nomor hp wa tiap kali coba masuk di kolom rubah kode sandi demikian jadi saya sama sekali tidak bisa mengunakan aplikasi ini,"['saya', 'atas', 'nama', 'jemmy', 'philips', 'korwa', 'mohon', 'agar', 'semua', 'data', 'data', 'saya', 'yang', 'data', 'pada', 'aplikasi', 'ini', 'agar', 'segera', 'di', 'hapus', 'atau', 'di', 'hilang', 'agar', 'tidak_hambat', 'saya', 'aju', 'pinjam', 'atau', 'dapat', 'mengunakan', 'aplikasi', 'lain', 'karena', 'di', 'aplikasi', 'ini', 'saya', 'sering', 'sekali', 'alami', 'kendala', 'dalam', 'sms', 'atau', 'wa', 'kode', 'ubah', 'password', 'yang', 'tidak_pernah', 'di', 'kirim', 'ke', 'nomor', 'hp', 'wa', 'tiap', 'kali', 'coba', 'masuk', 'di', 'kolom', 'rubah', 'kode', 'sandi', 'demikian', 'jadi', 'saya', 'sama', 'sekali', 'tidak_bisa', 'mengunakan', 'aplikasi', 'ini']"
kredivo seperti nya sedang tarik langgan baru sedang langgan lama dengan kualitas kredit baik abai saya ubah bintang nya jadi yaa moga depan nya bisa baik lg,"['kredivo', 'seperti', 'nya', 'sedang', 'tarik', 'langgan', 'baru', 'sedang', 'langgan', 'lama', 'dengan', 'kualitas', 'kredit', 'baik', 'abai', 'saya', 'ubah', 'bintang', 'nya', 'jadi', 'yaa', 'moga', 'depan', 'nya', 'bisa', 'baik', 'lg']"
klo mau ganti hp,"['klo', 'mau', 'ganti', 'hp']"
bintang satu sering banget transaksi tidak sah,"['bintang', 'satu', 'sering', 'banget', 'transaksi', 'tidak_sah']"
kenapa aplikasi eror buka malah kedap kedip terus sinyal sudah bagus tapi tetap seperti itu ini sangat susah tolong segera baik soal sangat bantu aplikasi kredivo ini,"['kenapa', 'aplikasi', 'eror', 'buka', 'malah', 'kedap', 'kedip', 'terus', 'sinyal', 'sudah', 'bagus', 'tapi', 'tetap', 'seperti', 'itu', 'ini', 'sangat', 'susah', 'tolong', 'segera', 'baik', 'soal', 'sangat', 'bantu', 'aplikasi', 'kredivo', 'ini']"
sangat bantu,"['sangat', 'bantu']"
sangat puas segala fasilitas di kredivo apa yg di butuh sllu ada dan di bantu kredivo trim kredivo sllu sukses dan amnah,"['sangat', 'puas', 'segala', 'fasilitas', 'di', 'kredivo', 'apa', 'yg', 'di', 'butuh', 'sllu', 'ada', 'dan', 'di', 'bantu', 'kredivo', 'trim', 'kredivo', 'sllu', 'sukses', 'dan', 'amnah']"
limit gede doank cuma bisa pakai receh bwt beli paket data sama pulsa bawah ribu pakai limit ribu ga bisa transaksi tidah sah terus pinjam terlalu lemah takut ga bayar kali,"['limit', 'gede', 'doank', 'cuma', 'bisa', 'pakai', 'receh', 'bwt', 'beli', 'paket', 'data', 'sama', 'pulsa', 'bawah', 'ribu', 'pakai', 'limit', 'ribu', 'ga', 'bisa', 'transaksi', 'tidah', 'sah', 'terus', 'pinjam', 'terlalu', 'lemah', 'takut', 'ga', 'bayar', 'kali']"
kecewa bayar ga pernah telat pdahal udah bayar sesuai nominal lalu karna ganggu sistem dri kredivo bayar tolak dana ga bisa kembali dan tagih tetap harus bayar padahal kendala itu dari sistem tapi malah suruh bayar yang udh bayar kalo gin cerita gw jadi ogah buat bayar tagih yg lanjut,"['kecewa', 'bayar', 'ga', 'pernah', 'telat', 'pdahal', 'udah', 'bayar', 'sesuai', 'nominal', 'lalu', 'karna', 'ganggu', 'sistem', 'dri', 'kredivo', 'bayar', 'tolak', 'dana', 'ga', 'bisa', 'kembali', 'dan', 'tagih', 'tetap', 'harus', 'bayar', 'padahal', 'kendala', 'itu', 'dari', 'sistem', 'tapi', 'malah', 'suruh', 'bayar', 'yang', 'udh', 'bayar', 'kalo', 'gin', 'cerita', 'gw', 'jadi', 'ogah', 'buat', 'bayar', 'tagih', 'yg', 'lanjut']"
mantap bunga rendah masih bisa di trima kantong karyawan cicil elektronik hp gak ribet bayar cepat bisa di pakai belanja apa aja sampai toko online tingkat lagi the best lah jadi ganti kartu kredit,"['mantap', 'bunga', 'rendah', 'masih', 'bisa', 'di', 'trima', 'kantong', 'karyawan', 'cicil', 'elektronik', 'hp', 'tidak_ribet', 'bayar', 'cepat', 'bisa', 'di', 'pakai', 'belanja', 'apa', 'aja', 'sampai', 'toko', 'online', 'tingkat', 'lagi', 'the', 'best', 'lah', 'jadi', 'ganti', 'kartu', 'kredit']"
suka banget pakai kredivo dengan ada kredivo jadi gampang untuk pinjam dan belanja apa moga kredivo selalu jadi nomor satu dan paling murah the best kredivo,"['suka', 'banget', 'pakai', 'kredivo', 'dengan', 'ada', 'kredivo', 'jadi', 'gampang', 'untuk', 'pinjam', 'dan', 'belanja', 'apa', 'moga', 'kredivo', 'selalu', 'jadi', 'nomor', 'satu', 'dan', 'paling', 'murah', 'the', 'best', 'kredivo']"
sangat kcewa dgn admin tagih sy sudah lama guna kredivo tp ga dpt solusi ingat ga semua telat bayar it ga punya uang mngkn btuh prhatian khusus krn lwat cs ga ada prubahan sama skali,"['sangat', 'kcewa', 'dgn', 'admin', 'tagih', 'sy', 'sudah', 'lama', 'guna', 'kredivo', 'tp', 'ga', 'dpt', 'solusi', 'ingat', 'ga', 'semua', 'telat', 'bayar', 'it', 'ga', 'punya', 'uang', 'mngkn', 'btuh', 'prhatian', 'khusus', 'krn', 'lwat', 'cs', 'ga', 'ada', 'prubahan', 'sama', 'skali']"
sip sangat bantu mudah dan cepat sekali proses butuh waktu gk sampai menit cair gimana cara naik limit yg besar ya limit jt aja klo bisa tambah limit terima kasih kredivo tingkat kualitas lgi,"['sip', 'sangat', 'bantu', 'mudah', 'dan', 'cepat', 'sekali', 'proses', 'butuh', 'waktu', 'gk', 'sampai', 'menit', 'cair', 'gimana', 'cara', 'naik', 'limit', 'yg', 'besar', 'ya', 'limit', 'jt', 'aja', 'klo', 'bisa', 'tambah', 'limit', 'terima', 'kasih', 'kredivo', 'tingkat', 'kualitas', 'lgi']"
walaupun naik limit gatau kapan tp masih bisa di andal,"['walaupun', 'naik', 'limit', 'gatau', 'kapan', 'tp', 'masih', 'bisa', 'di', 'andal']"
beli pulsa hampir jam lebih belum masuk saldo potong dan sudah di masuk ke dalam tagih tetapi pulsa belum masuk sama skali saya sudah contact cs nya tapi balas nya cuman pake bot chat apa operator kredivo hanya bisa menaggih tapi tidak bisa beri layan yang baik,"['beli', 'pulsa', 'hampir', 'jam', 'lebih', 'belum', 'masuk', 'saldo', 'potong', 'dan', 'sudah', 'di', 'masuk', 'ke', 'dalam', 'tagih', 'tetapi', 'pulsa', 'belum', 'masuk', 'sama', 'skali', 'saya', 'sudah', 'contact', 'cs', 'nya', 'tapi', 'balas', 'nya', 'cuman', 'pake', 'bot', 'chat', 'apa', 'operator', 'kredivo', 'hanya', 'bisa', 'menaggih', 'tapi', 'tidak_bisa', 'beri', 'layan', 'yang', 'baik']"
waiy,['waiy']
sangat jlek,"['sangat', 'jlek']"
saya mau bayar tagih tapi aplikasi muncul tool lucky patcher deteksi terus terus padahal di handphone saya tidak ada aplikasi lucky patcher mohon bantu,"['saya', 'mau', 'bayar', 'tagih', 'tapi', 'aplikasi', 'muncul', 'tool', 'lucky', 'patcher', 'deteksi', 'terus', 'terus', 'padahal', 'di', 'handphone', 'saya', 'tidak_ada', 'aplikasi', 'lucky', 'patcher', 'mohon', 'bantu']"
limit naik sedikit buat belanja dapur bulan diindomaret sudah empat tahun pakai kredivo masih limit,"['limit', 'naik', 'sedikit', 'buat', 'belanja', 'dapur', 'bulan', 'diindomaret', 'sudah', 'empat', 'tahun', 'pakai', 'kredivo', 'masih', 'limit']"
ga jelas bgt udah di bayar lunas malah ga bisa di pakai lagi konyol kalau telat bayar neror di bayar ontime malah ga bisa di pakai dg alas ga jls,"['ga', 'jelas', 'bgt', 'udah', 'di', 'bayar', 'lunas', 'malah', 'ga', 'bisa', 'di', 'pakai', 'lagi', 'konyol', 'kalau', 'telat', 'bayar', 'neror', 'di', 'bayar', 'ontime', 'malah', 'ga', 'bisa', 'di', 'pakai', 'dg', 'alas', 'ga', 'jls']"
saya suka dengan aplikasi ini tapi sayang kenapa sekarang tidak bisa transaksi karena keman kata padahal saya gak pernah telat,"['saya', 'suka', 'dengan', 'aplikasi', 'ini', 'tapi', 'sayang', 'kenapa', 'sekarang', 'tidak_bisa', 'transaksi', 'karena', 'keman', 'kata', 'padahal', 'saya', 'tidak_pernah', 'telat']"
sangat tidak bantu untuk guna kredivo,"['sangat', 'tidak_bantu', 'untuk', 'guna', 'kredivo']"
cuma ngingetin bisa tidak kalo sudah bayar tagih langsung hilang ga perlu nunggu lama kok mesti nunggu tagih hilang gitu padahal dah bayar kalo bisa telah bayar di riwayat nya langsung otomatis hilang tagih lah,"['cuma', 'ngingetin', 'bisa', 'tidak_kalo', 'sudah', 'bayar', 'tagih', 'langsung', 'hilang', 'ga', 'perlu', 'nunggu', 'lama', 'kok', 'mesti', 'nunggu', 'tagih', 'hilang', 'gitu', 'padahal', 'dah', 'bayar', 'kalo', 'bisa', 'telah', 'bayar', 'di', 'riwayat', 'nya', 'langsung', 'otomatis', 'hilang', 'tagih', 'lah']"
sangat bantu untuk laku bayar beli saat tidak ada uang bayar belakang bisa nyicil juga sesuai ingin transaksi cepat lumayan banyak promo potong harga atau voucher belanja,"['sangat', 'bantu', 'untuk', 'laku', 'bayar', 'beli', 'saat', 'tidak_ada', 'uang', 'bayar', 'belakang', 'bisa', 'nyicil', 'juga', 'sesuai', 'ingin', 'transaksi', 'cepat', 'lumayan', 'banyak', 'promo', 'potong', 'harga', 'atau', 'voucher', 'belanja']"
barusan saya bayar tagih cicil kenapa limit gak ubah masih tetap limit nominal angka belum bayar biasa kalau sudah bayar tagih limit ubah jadi nambah nominal tapi ini kok enggak,"['barusan', 'saya', 'bayar', 'tagih', 'cicil', 'kenapa', 'limit', 'tidak_ubah', 'masih', 'tetap', 'limit', 'nominal', 'angka', 'belum', 'bayar', 'biasa', 'kalau', 'sudah', 'bayar', 'tagih', 'limit', 'ubah', 'jadi', 'nambah', 'nominal', 'tapi', 'ini', 'kok', 'enggak']"
alhamdulillah ada aplikasi yg sangat bantu butuh kita buat hari walau gaji masih lama kita masih bisa belanja butuh aplikasi ini dengan mudah dan cepat walau limit awal sedikit tapi alhamdulilah sangat manfaat trimakasih kredivo,"['alhamdulillah', 'ada', 'aplikasi', 'yg', 'sangat', 'bantu', 'butuh', 'kita', 'buat', 'hari', 'walau', 'gaji', 'masih', 'lama', 'kita', 'masih', 'bisa', 'belanja', 'butuh', 'aplikasi', 'ini', 'dengan', 'mudah', 'dan', 'cepat', 'walau', 'limit', 'awal', 'sedikit', 'tapi', 'alhamdulilah', 'sangat', 'manfaat', 'trimakasih', 'kredivo']"
sangat bantu saat lg perlu dana desak tp telah sekian lama mengapa akun saya tangguh sementara padahal tidak pernah telat bayar tagih jg tidak ada yg jatuh tempo tetapi di dasbord tulis akun anda tangguh sementara karena tagih telah jatuh tempo mohon bgt periksa bener ya kepada pihak kredivo,"['sangat', 'bantu', 'saat', 'lg', 'perlu', 'dana', 'desak', 'tp', 'telah', 'sekian', 'lama', 'mengapa', 'akun', 'saya', 'tangguh', 'sementara', 'padahal', 'tidak_pernah', 'telat', 'bayar', 'tagih', 'jg', 'tidak_ada', 'yg', 'jatuh', 'tempo', 'tetapi', 'di', 'dasbord', 'tulis', 'akun', 'anda', 'tangguh', 'sementara', 'karena', 'tagih', 'telah', 'jatuh', 'tempo', 'mohon', 'bgt', 'periksa', 'bener', 'ya', 'kepada', 'pihak', 'kredivo']"
sudah hampir satu tahun belum memenuhin syarat saja upgrade kredivo premium lantas mau sampai kapan bayar selalu tepat waktu,"['sudah', 'hampir', 'satu', 'tahun', 'belum', 'memenuhin', 'syarat', 'saja', 'upgrade', 'kredivo', 'premium', 'lantas', 'mau', 'sampai', 'kapan', 'bayar', 'selalu', 'tepat', 'waktu']"
tolong kasih terang saat mau bayar jadi kita tau jumlah transaksi sekian untuk bayar apa misal belanja di shopee ato tokped itu gak ada terang,"['tolong', 'kasih', 'terang', 'saat', 'mau', 'bayar', 'jadi', 'kita', 'tau', 'jumlah', 'transaksi', 'sekian', 'untuk', 'bayar', 'apa', 'misal', 'belanja', 'di', 'shopee', 'ato', 'tokped', 'itu', 'tidak_ada', 'terang']"
saya sudah sering guna krevidio untuk bayar toko oren tapi bulan akhir ini selalalu gagal dengan terang status transaksi tidak sah saya sudah coba hubung cs kredivo kali kali tapi jawanan tetap sama tidak bisa bantu karena semua bayar ini sifat pengajauan sedang saya tidak pernah telat dan cs bilang tidak ada salah dalam akun sampe bulan ini saya gak tau dan gak ada solusi,"['saya', 'sudah', 'sering', 'guna', 'krevidio', 'untuk', 'bayar', 'toko', 'oren', 'tapi', 'bulan', 'akhir', 'ini', 'selalalu', 'gagal', 'dengan', 'terang', 'status', 'transaksi', 'tidak_sah', 'saya', 'sudah', 'coba', 'hubung', 'cs', 'kredivo', 'kali', 'kali', 'tapi', 'jawanan', 'tetap', 'sama', 'tidak_bisa', 'bantu', 'karena', 'semua', 'bayar', 'ini', 'sifat', 'pengajauan', 'sedang', 'saya', 'tidak_pernah', 'telat', 'dan', 'cs', 'bilang', 'tidak_ada', 'salah', 'dalam', 'akun', 'sampe', 'bulan', 'ini', 'saya', 'tidak_tau', 'dan', 'tidak_ada', 'solusi']"
saya ada tunggak tapi diinstal aplikasi kok gak bisa ya,"['saya', 'ada', 'tunggak', 'tapi', 'diinstal', 'aplikasi', 'kok', 'tidak_bisa', 'ya']"
saya juga kepingin cicil sampai bulan atau bulan kalau bulan bagi saya berat menyicilnya tidak perlu tambah limit yang penting bisa nyicil sampai bulan,"['saya', 'juga', 'kepingin', 'cicil', 'sampai', 'bulan', 'atau', 'bulan', 'kalau', 'bulan', 'bagi', 'saya', 'berat', 'menyicilnya', 'tidak_perlu', 'tambah', 'limit', 'yang', 'penting', 'bisa', 'nyicil', 'sampai', 'bulan']"
susah bgt mau pake transaksi sini tidak klo udah gak bisa di pake lagi mending di block saja akun dari pada ada limit tp gk bs di pake sama sekali cm php aja,"['susah', 'bgt', 'mau', 'pake', 'transaksi', 'sini', 'tidak_klo', 'udah', 'tidak_bisa', 'di', 'pake', 'lagi', 'mending', 'di', 'block', 'saja', 'akun', 'dari', 'pada', 'ada', 'limit', 'tp', 'gk', 'bs', 'di', 'pake', 'sama', 'sekali', 'cm', 'php', 'aja']"
sayang sayang padah udah saya lunas tapi masih sampe sekarang akun saya masih beku,"['sayang', 'sayang', 'padah', 'udah', 'saya', 'lunas', 'tapi', 'masih', 'sampe', 'sekarang', 'akun', 'saya', 'masih', 'beku']"
parah dari kemaren sudah saya lapor ke cs klo aq sudah bayar belum jatuh tempo di aplikasi status masih belum bayar padahal di internet banking ku sudah hasil sudah hubung cs ke sana sini juga tidak di respon barusan dpt tlfon dri cs malah bolak balik kata nya itu trs kayak robot gimana ini,"['parah', 'dari', 'kemaren', 'sudah', 'saya', 'lapor', 'ke', 'cs', 'klo', 'aq', 'sudah', 'bayar', 'belum', 'jatuh', 'tempo', 'di', 'aplikasi', 'status', 'masih', 'belum', 'bayar', 'padahal', 'di', 'internet', 'banking', 'ku', 'sudah', 'hasil', 'sudah', 'hubung', 'cs', 'ke', 'sana', 'sini', 'juga', 'tidak_di', 'respon', 'barusan', 'dpt', 'tlfon', 'dri', 'cs', 'malah', 'bolak', 'balik', 'kata', 'nya', 'itu', 'trs', 'kayak', 'robot', 'gimana', 'ini']"
aplikasi baik soal aju pinjam cepat dan bunga paling rendah antara yang lain tapi sayang untuk upgrade dan aju limit sangat susah moga bisa lebih baik lagi,"['aplikasi', 'baik', 'soal', 'aju', 'pinjam', 'cepat', 'dan', 'bunga', 'paling', 'rendah', 'antara', 'yang', 'lain', 'tapi', 'sayang', 'untuk', 'upgrade', 'dan', 'aju', 'limit', 'sangat', 'susah', 'moga', 'bisa', 'lebih', 'baik', 'lagi']"
kredivo sekarang sudah tak seperti dulu lagi punya limit bas juta ikut klub elite juga tapi percuma buat beli pulsa saja tidak bisa bagaimana mau ningkatin belanja kalomkaya gitu padahal di wa terus di minta tingkat score belanja,"['kredivo', 'sekarang', 'sudah', 'tidak_seperti', 'dulu', 'lagi', 'punya', 'limit', 'bas', 'juta', 'ikut', 'klub', 'elite', 'juga', 'tapi', 'percuma', 'buat', 'beli', 'pulsa', 'saja', 'tidak_bisa', 'bagaimana', 'mau', 'ningkatin', 'belanja', 'kalomkaya', 'gitu', 'padahal', 'di', 'wa', 'terus', 'di', 'minta', 'tingkat', 'score', 'belanja']"
baik,['baik']
saya sangat kecewa dengan aplikasi kredivo bayar saya selalu lancar akun saya sudah naik jadi akun premium limit saldo saya tapi tidak bisa pinjam aju pinjam jt langsung gagal aju langsung gagal aju jt gagal juga akhir ribu tetap gagal apa guna nya saya kasi limit kalau gak bisa pinjam sangat kecewa sangat sangat kecewa padahal saya lagi butuh,"['saya', 'sangat', 'kecewa', 'dengan', 'aplikasi', 'kredivo', 'bayar', 'saya', 'selalu', 'lancar', 'akun', 'saya', 'sudah', 'naik', 'jadi', 'akun', 'premium', 'limit', 'saldo', 'saya', 'tapi', 'tidak_bisa', 'pinjam', 'aju', 'pinjam', 'jt', 'langsung', 'gagal', 'aju', 'langsung', 'gagal', 'aju', 'jt', 'gagal', 'juga', 'akhir', 'ribu', 'tetap', 'gagal', 'apa', 'guna', 'nya', 'saya', 'kasi', 'limit', 'kalau', 'tidak_bisa', 'pinjam', 'sangat', 'kecewa', 'sangat', 'sangat', 'kecewa', 'padahal', 'saya', 'lagi', 'butuh']"
maaf knp kredivo saya tidak bs di guna ya tiap ingin bayar transaksi tidak bisa pdhl aplikasi aktif tlng di baik lg untuk kredivonya pdhli sangat bantu tp knp skr di sulit,"['maaf', 'knp', 'kredivo', 'saya', 'tidak_bs', 'di', 'guna', 'ya', 'tiap', 'ingin', 'bayar', 'transaksi', 'tidak_bisa', 'pdhl', 'aplikasi', 'aktif', 'tlng', 'di', 'baik', 'lg', 'untuk', 'kredivonya', 'pdhli', 'sangat', 'bantu', 'tp', 'knp', 'skr', 'di', 'sulit']"
ini kenapa kredivo saya sudah laku bayar lewat livin mandiri bayar hasil tapi di kredivo tagih masih ada belum verifikasi saldo atm saya sudah potong tolong bantu nya pihak kredivo,"['ini', 'kenapa', 'kredivo', 'saya', 'sudah', 'laku', 'bayar', 'lewat', 'livin', 'mandiri', 'bayar', 'hasil', 'tapi', 'di', 'kredivo', 'tagih', 'masih', 'ada', 'belum', 'verifikasi', 'saldo', 'atm', 'saya', 'sudah', 'potong', 'tolong', 'bantu', 'nya', 'pihak', 'kredivo']"
terima kasih kredivo aplikasi yg sangat bantu buat guna di saat di butuh sangat cepat dan akurat mudah dan ga ribet bunga jangkau bisa belanja mana aja murah lagi dan harga saing kl bisa tambah waktu cicil moga depan tambah sukses dan banyak promo yg dapat sukses slalu dan langgeng mksh kredivo,"['terima', 'kasih', 'kredivo', 'aplikasi', 'yg', 'sangat', 'bantu', 'buat', 'guna', 'di', 'saat', 'di', 'butuh', 'sangat', 'cepat', 'dan', 'akurat', 'mudah', 'dan', 'ga', 'ribet', 'bunga', 'jangkau', 'bisa', 'belanja', 'mana', 'aja', 'murah', 'lagi', 'dan', 'harga', 'saing', 'kl', 'bisa', 'tambah', 'waktu', 'cicil', 'moga', 'depan', 'tambah', 'sukses', 'dan', 'banyak', 'promo', 'yg', 'dapat', 'sukses', 'slalu', 'dan', 'langgeng', 'mksh', 'kredivo']"
sistem aman kredivo terlalu over sensitif sehingga sulit guna untuk transaksi tidak pernah telat bayar bukan jamin bisa laku transaksi di kredivo karena sistem keman yang terlalu over sensitif mulai hari ini saya uninstall kredivo saya mau rawat julo saja yang lebih fleksibel untuk transaksi dan tidak pernah ada kendala sama sekali bye bye kredivo,"['sistem', 'aman', 'kredivo', 'terlalu', 'over', 'sensitif', 'sehingga', 'sulit', 'guna', 'untuk', 'transaksi', 'tidak_pernah', 'telat', 'bayar', 'tidak_jamin', 'bisa', 'laku', 'transaksi', 'di', 'kredivo', 'karena', 'sistem', 'keman', 'yang', 'terlalu', 'over', 'sensitif', 'mulai', 'hari', 'ini', 'saya', 'uninstall', 'kredivo', 'saya', 'mau', 'rawat', 'julo', 'saja', 'yang', 'lebih', 'fleksibel', 'untuk', 'transaksi', 'dan', 'tidak_pernah', 'ada', 'kendala', 'sama', 'sekali', 'bye', 'bye', 'kredivo']"
ga jelas banget padahal cuma transaksi pulsa tiba akun di blokir sementara dan suruh lunas tagih dan saya tanya ke cs di suruh menulasi sesuai tanggal bayar dan telah lunas tagih saya kenapa malah di blokir permanen akun kredivo saya padahal akun saya sudah premium,"['ga', 'jelas', 'banget', 'padahal', 'cuma', 'transaksi', 'pulsa', 'tiba', 'akun', 'di', 'blokir', 'sementara', 'dan', 'suruh', 'lunas', 'tagih', 'dan', 'saya', 'tanya', 'ke', 'cs', 'di', 'suruh', 'menulasi', 'sesuai', 'tanggal', 'bayar', 'dan', 'telah', 'lunas', 'tagih', 'saya', 'kenapa', 'malah', 'di', 'blokir', 'permanen', 'akun', 'kredivo', 'saya', 'padahal', 'akun', 'saya', 'sudah', 'premium']"
