Stemming,negasi
kenapa akun kredivo saya tidak bisa guna untuk transaksi padahal limit masih banyak dan tidak pernah telat bayar kecewa saya pada akhir moga bisa selesai tim analis lah yg ini dan itu bayar tidak sah laku cara kala ujung nya begitu di baik sistem,"['kenapa', 'akun', 'kredivo', 'saya', 'tidak_bisa', 'guna', 'untuk', 'transaksi', 'padahal', 'limit', 'masih', 'banyak', 'dan', 'tidak_pernah', 'telat', 'bayar', 'kecewa', 'saya', 'pada', 'akhir', 'moga', 'bisa', 'selesai', 'tim', 'analis', 'lah', 'yg', 'ini', 'dan', 'itu', 'bayar', 'tidak_sah', 'laku', 'cara', 'kala', 'ujung', 'nya', 'begitu', 'di', 'baik', 'sistem']"
terus terang jt buat limit bulan tidak cukup teransaksi gak hitung semua bayar litrik air indihome sampai perlu hari bahkan sudah langgan semua serba otomatis mungkin sudah lebih aju naik limit tapi di tolak terus kata kalau sering transaksi limit otomatis naik tapi sampai sekarang gak ubah score level kredi juga jawara flexibel udah mentok semua tapi limit gk kunjung naik sy hanya ingin limit bulan aja yg tinggi,"['terus', 'terang', 'jt', 'buat', 'limit', 'bulan', 'tidak_cukup', 'teransaksi', 'tidak_hitung', 'semua', 'bayar', 'litrik', 'air', 'indihome', 'sampai', 'perlu', 'hari', 'bahkan', 'sudah', 'langgan', 'semua', 'serba', 'otomatis', 'mungkin', 'sudah', 'lebih', 'aju', 'naik', 'limit', 'tapi', 'di', 'tolak', 'terus', 'kata', 'kalau', 'sering', 'transaksi', 'limit', 'otomatis', 'naik', 'tapi', 'sampai', 'sekarang', 'tidak_ubah', 'score', 'level', 'kredi', 'juga', 'jawara', 'flexibel', 'udah', 'mentok', 'semua', 'tapi', 'limit', 'gk', 'kunjung', 'naik', 'sy', 'hanya', 'ingin', 'limit', 'bulan', 'aja', 'yg', 'tinggi']"
akhir naik limit juga mau beli kuota ng ribet lagi,"['akhir', 'naik', 'limit', 'juga', 'mau', 'beli', 'kuota', 'ng', 'ribet', 'lagi']"
udah download dan isi data tapi tidak bisa aju pinjam harus nunggu bulan bulan mungkin saya tidak takdir untuk pinjol karena saya baru pertama kali pinjam online dan itu tidak di acc tolong data saya hapus di apk ini jangan salah guna saya bisa lapor ke pihak wajib apabila data saya disalahgunakan diapk ini,"['udah', 'download', 'dan', 'isi', 'data', 'tapi', 'tidak_bisa', 'aju', 'pinjam', 'harus', 'nunggu', 'bulan', 'bulan', 'mungkin', 'saya', 'tidak_takdir', 'untuk', 'pinjol', 'karena', 'saya', 'baru', 'pertama', 'kali', 'pinjam', 'online', 'dan', 'itu', 'tidak_di', 'acc', 'tolong', 'data', 'saya', 'hapus', 'di', 'apk', 'ini', 'tidak_salah', 'guna', 'saya', 'bisa', 'lapor', 'ke', 'pihak', 'wajib', 'apabila', 'data', 'saya', 'disalahgunakan', 'diapk', 'ini']"
wah makin keren aja nih kredivo untuk cicil bulan bila masih ada limit kita masih bisa untuk belanja ayo teman jangan ragu pake kredivo,"['wah', 'makin', 'keren', 'aja', 'nih', 'kredivo', 'untuk', 'cicil', 'bulan', 'bila', 'masih', 'ada', 'limit', 'kita', 'masih', 'bisa', 'untuk', 'belanja', 'ayo', 'teman', 'tidak_ragu', 'pake', 'kredivo']"
belum waktu jatuh tempo akun saya sudah di tangguh dan ketika saya bayar malah akun saya di blokir permanen dah mending yang belum lolos registrasi di kredivo mending jangan di tunggu mending di uninstal saja lagi sudah beberapa kali laku pinjam limit ga naik juga sampah mending blokir aja kredivo,"['belum', 'waktu', 'jatuh', 'tempo', 'akun', 'saya', 'sudah', 'di', 'tangguh', 'dan', 'ketika', 'saya', 'bayar', 'malah', 'akun', 'saya', 'di', 'blokir', 'permanen', 'dah', 'mending', 'yang', 'belum', 'lolos', 'registrasi', 'di', 'kredivo', 'mending', 'tidak_di', 'tunggu', 'mending', 'di', 'uninstal', 'saja', 'lagi', 'sudah', 'beberapa', 'kali', 'laku', 'pinjam', 'limit', 'ga', 'naik', 'juga', 'sampah', 'mending', 'blokir', 'aja', 'kredivo']"
kenapa tiba tiba akun saya kunci sementara gara gara beberapa kali salah laku kredensial padahal saya tidak laku apa apa pin yg saya masuk juga benar kenapa anggap salah kalo error terus bagaimana nanti kalo mau bayar tagih tidak bisa pasti anggap buruk skor kredit,"['kenapa', 'tiba', 'tiba', 'akun', 'saya', 'kunci', 'sementara', 'gara', 'gara', 'beberapa', 'kali', 'salah', 'laku', 'kredensial', 'padahal', 'saya', 'tidak_laku', 'apa', 'apa', 'pin', 'yg', 'saya', 'masuk', 'juga', 'benar', 'kenapa', 'anggap', 'salah', 'kalo', 'error', 'terus', 'bagaimana', 'nanti', 'kalo', 'mau', 'bayar', 'tagih', 'tidak_bisa', 'pasti', 'anggap', 'buruk', 'skor', 'kredit']"
kereenn tahan divo utama langgam lama yg riwayat bayar baik,"['kereenn', 'tahan', 'divo', 'utama', 'langgam', 'lama', 'yg', 'riwayat', 'bayar', 'baik']"
aplikasi taikk gua sering kaga telat bayar kali kali limit malah kaga di naikin asal gua baru telat bayar hari langsung di blokir permanen mending dapet limit ribu atau juta ini mah limit cuma udah kaya taiikk nih aplikasi nyesel gua bayar kalau tau di blokir permanen kaya gin emang bener aplikasi taiikk,"['aplikasi', 'taikk', 'gua', 'sering', 'kaga', 'telat', 'bayar', 'kali', 'kali', 'limit', 'malah', 'kaga', 'di', 'naikin', 'asal', 'gua', 'baru', 'telat', 'bayar', 'hari', 'langsung', 'di', 'blokir', 'permanen', 'mending', 'dapet', 'limit', 'ribu', 'atau', 'juta', 'ini', 'mah', 'limit', 'cuma', 'udah', 'kaya', 'taiikk', 'nih', 'aplikasi', 'nyesel', 'gua', 'bayar', 'kalau', 'tau', 'di', 'blokir', 'permanen', 'kaya', 'gin', 'emang', 'bener', 'aplikasi', 'taiikk']"
proses cepat tanpa ribet,"['proses', 'cepat', 'tanpa', 'ribet']"
aplikasi parah telat dikit aja langsung ditelp kali dan cukup ganggu tiap menit ditelp padahal klo telat pun kena denda dan aplikasi blokir,"['aplikasi', 'parah', 'telat', 'dikit', 'aja', 'langsung', 'ditelp', 'kali', 'dan', 'cukup', 'ganggu', 'tiap', 'menit', 'ditelp', 'padahal', 'klo', 'telat', 'pun', 'kena', 'denda', 'dan', 'aplikasi', 'blokir']"
trimakasih sudah naik limit saya dn moga limit naik makin naik terus tolong naik saya limit lgi agar bisa beli barang yg agak mahal karna biar bisa jg suksesin misi kredivo dan belanja butuh seperti elektronik dll skrg limit saya jt tolong naik atas trimakasih milik kredivo dan team kredivo trimakasih banyak,"['trimakasih', 'sudah', 'naik', 'limit', 'saya', 'dn', 'moga', 'limit', 'naik', 'makin', 'naik', 'terus', 'tolong', 'naik', 'saya', 'limit', 'lgi', 'agar', 'bisa', 'beli', 'barang', 'yg', 'agak', 'mahal', 'karna', 'biar', 'bisa', 'jg', 'suksesin', 'misi', 'kredivo', 'dan', 'belanja', 'butuh', 'seperti', 'elektronik', 'dll', 'skrg', 'limit', 'saya', 'jt', 'tolong', 'naik', 'atas', 'trimakasih', 'milik', 'kredivo', 'dan', 'team', 'kredivo', 'trimakasih', 'banyak']"
pas banget saat di butuh untuk cicil bener sampai bulan bahkan untuk belanja di mercart lain pun sma bisa di cicil sampai bulan kredivo bener bagus dan sangat bantu terima kasih kredivo selalu tingkat lebih baik lagi,"['pas', 'banget', 'saat', 'di', 'butuh', 'untuk', 'cicil', 'bener', 'sampai', 'bulan', 'bahkan', 'untuk', 'belanja', 'di', 'mercart', 'lain', 'pun', 'sma', 'bisa', 'di', 'cicil', 'sampai', 'bulan', 'kredivo', 'bener', 'bagus', 'dan', 'sangat', 'bantu', 'terima', 'kasih', 'kredivo', 'selalu', 'tingkat', 'lebih', 'baik', 'lagi']"
alhamdulillah terima kasih banyak bisa bantu saya dengan ada kredivo aplikasi ini tapi kenapa limit saya tetep aja gak nambah pada hal bayar tepat waktu alhamdulillah tapi tetep aja gak naik limit makasih,"['alhamdulillah', 'terima', 'kasih', 'banyak', 'bisa', 'bantu', 'saya', 'dengan', 'ada', 'kredivo', 'aplikasi', 'ini', 'tapi', 'kenapa', 'limit', 'saya', 'tetep', 'aja', 'tidak_nambah', 'pada', 'hal', 'bayar', 'tepat', 'waktu', 'alhamdulillah', 'tapi', 'tetep', 'aja', 'tidak_naik', 'limit', 'makasih']"
transaksi ku slalu sukses dan limit ku tambah jadi jt saya sangat bantu dgn ada kredivo dan transaksi belanja mudah bisa pakai mana trimakasih kredivo sukses slalu,"['transaksi', 'ku', 'slalu', 'sukses', 'dan', 'limit', 'ku', 'tambah', 'jadi', 'jt', 'saya', 'sangat', 'bantu', 'dgn', 'ada', 'kredivo', 'dan', 'transaksi', 'belanja', 'mudah', 'bisa', 'pakai', 'mana', 'trimakasih', 'kredivo', 'sukses', 'slalu']"
