content,cleansing
"Udah download dan isi data tapi Tidak bisa mengajukan pinjaman harus nunggu berbulan bulan,mungkin saya tidak ditakdirkan untuk pinjol, karena saya baru pertama kalinya pinjam online dan itupun tidak di acc, tolong data saya dihapus di apk ini, jangan disalah gunakan, saya bisa laporkan ke pihak berwajib apabila data saya disalahgunakan diapk ini.",Udah download dan isi data tapi Tidak bisa mengajukan pinjaman harus nunggu berbulan bulan mungkin saya tidak ditakdirkan untuk pinjol  karena saya baru pertama kalinya pinjam online dan itupun tidak di acc  tolong data saya dihapus di apk ini  jangan disalah gunakan  saya bisa laporkan ke pihak berwajib apabila data saya disalahgunakan diapk ini
"Wah,,,makin keren aja nih kredivo untuk cicilan 12bulan bila masih ada limitnya kita masih bisa untuk belanja...ayo teman2 jangan ragu pake kredivo",Wah makin keren aja nih kredivo untuk cicilan  bulan bila masih ada limitnya kita masih bisa untuk belanja ayo teman  jangan ragu pake kredivo
Belum waktunya jatuh tempo akun saya sudah di tangguhkan dan ketika saya bayar malah akun saya di blokir permanen dah mending yang belum lolos registrasi di kredivo mending jangan di tunggu mending di uninstal saja lagian sudah beberapa kali melakukan pinjaman limit ga naik juga. Sampah mending blokir aja kredivo,Belum waktunya jatuh tempo akun saya sudah di tangguhkan dan ketika saya bayar malah akun saya di blokir permanen dah mending yang belum lolos registrasi di kredivo mending jangan di tunggu mending di uninstal saja lagian sudah beberapa kali melakukan pinjaman limit ga naik juga  Sampah mending blokir aja kredivo
Kenapa tiba-tiba akun saya terkunci sementara gara-gara beberapa kali salah melakukan kredensial? Padahal saya tidak melakukan apa-apa..PIN yg saya masukkan juga benar kenapa dianggap salah? Kalo error terus bagaimana nanti kalo mau bayar tagihan tidak bisa pasti dianggap buruk skor kreditnya..,Kenapa tiba tiba akun saya terkunci sementara gara gara beberapa kali salah melakukan kredensial  Padahal saya tidak melakukan apa apa  PIN yg saya masukkan juga benar kenapa dianggap salah  Kalo error terus bagaimana nanti kalo mau bayar tagihan tidak bisa pasti dianggap buruk skor kreditnya
Kereenn pertahankan divo utamakan pelanggam lama yg riwayat pembayarannya baik,Kereenn pertahankan divo utamakan pelanggam lama yg riwayat pembayarannya baik
"Aplikasi Taikk, gua sering kaga telat bayar berkali-kali limit malah kaga di naikin, asalkan gua baru telat bayar 1 hari langsung di blokir permanen,. Mending dapet limitnya 800 ribu atau 1 juta,. Ini mah limitnya cuma 100K udah kaya Taiikk nih Aplikasi., nyesel GUA bayar kalau tau di blokir permanen kaya gini, emang bener"" aplikasi Taiikk",Aplikasi Taikk  gua sering kaga telat bayar berkali kali limit malah kaga di naikin  asalkan gua baru telat bayar hari langsung di blokir permanen Mending dapet limitnya ribu atau juta Ini mah limitnya cuma udah kaya Taiikk nih Aplikasi nyesel GUA bayar kalau tau di blokir permanen kaya gini  emang bener  aplikasi Taiikk
proses cepat tanpa ribet,proses cepat tanpa ribet
"Aplikasi parah, telat dikit aja langsung ditelp berkali2 dan cukup mengganggu setiap menit ditelp, padahal klo telat pun kena denda dan aplikasi diblokir",Aplikasi parah  telat dikit aja langsung ditelp berkali  dan cukup mengganggu setiap menit ditelp  padahal klo telat pun kena denda dan aplikasi diblokir
Trimakasih sudah menaikkan limit saya. Dn semoga limit naik makin naik terus. Tolong naikkan saya limit lgi agar bisa beli barang2 yg agak mahal karna biar bisa jg suksesin misi2 d kredivo dan belanja2 kebutuhan seperti elektronik dll. Skrg limit saya 2.5jt tolong naikkan d atasnya. Trimakasih pemilik kredivo dan team2 kredivo. Trimakasih banyak,Trimakasih sudah menaikkan limit saya  Dn semoga limit naik makin naik terus  Tolong naikkan saya limit lgi agar bisa beli barang  yg agak mahal karna biar bisa jg suksesin misi kredivo dan belanja  kebutuhan seperti elektronik dll  Skrg limit saya jt tolong naikkan atasnya  Trimakasih pemilik kredivo dan team  kredivo  Trimakasih banyak
"pas banget saat di butuhkan, untuk cicilan bener2 sampai 12 bulan, bahkan untuk belanja di mercart lain pun sma bisa di cicil sampai 12 bulan, kredivo bener2 bagus dan sangat membantu, Terima kasih kredivo selalu tingkatkan lebih baik lagi",pas banget saat di butuhkan  untuk cicilan bener  sampai bulan  bahkan untuk belanja di mercart lain pun sma bisa di cicil sampai bulan  kredivo bener  bagus dan sangat membantu  Terima kasih kredivo selalu tingkatkan lebih baik lagi
"Alhamdulillah terima kasih banyak bisa membantu saya dengan adanya KREDIVO aplikasi ini,tapi kenapa limit saya tetep aja,gak nambah,pada hal bayar tepat waktu alhamdulillah,tapi tetep aja gak naik limitnya,makasih",Alhamdulillah terima kasih banyak bisa membantu saya dengan adanya KREDIVO aplikasi ini tapi kenapa limit saya tetep aja gak nambah pada hal bayar tepat waktu alhamdulillah tapi tetep aja gak naik limitnya makasih
Transaksi ku slalu sukses... Dan limit ku bertambah jadi 1.2 jt... Saya sangat terbantu dgn adanya kredivo...dan transaksi belanjanya mudah bisa dipakai dimana z....Trimakasih kredivo sukses slalu..🙏😄,Transaksi ku slalu sukses Dan limit ku bertambah jadi jt Saya sangat terbantu dgn adanya kredivo dan transaksi belanjanya mudah bisa dipakai dimana Trimakasih kredivo sukses slalu  
"Ini gimana yaa, aku jarang buka akun nya kok harus ngisi data lagi? Data yg dulu di kemanain? Tolong data saya di hapus saja!! Di kasih limit juga dikit, gk kepikiran buat belanja. Tapi pas buka aplikasi nya harus ngisi data lagi! TEU LIEURR MAH!! HAPUS DATA SAYA!!",Ini gimana yaa  aku jarang buka akun nya kok harus ngisi data lagi  Data yg dulu di kemanain  Tolong data saya di hapus saja Di kasih limit juga dikit  gk kepikiran buat belanja  Tapi pas buka aplikasi nya harus ngisi data lagi  TEU LIEURR MAH HAPUS DATA SAYA
"Sebagai nasabah lama apl ini (kredivo) saya mengucapkan terima kasih banyak,karena akun saya sudah beralih ke premium..tapi sayang nya kenapa score nya gak berubah masih tetap di score c...padahal saya gak pernah telat/terlambat dalam pembayaran..trmksh🙏🙏",Sebagai nasabah lama apl ini  kredivo  saya mengucapkan terima kasih banyak karena akun saya sudah beralih ke premium  tapi sayang nya kenapa score nya gak berubah masih tetap di score padahal saya gak pernah telat terlambat dalam pembayaran  trmksh
Saya setiap menggunakan Q-Ris untuk transaksi kadang2 gagal membuat proses pembayaran tertunda cukup lama. Disaat itu limit saya tinggi dan q-ris gagal di siang menjelang sore. Tolong diperbaiki dengan kejadian yg saya alami tersebut,Saya setiap menggunakan Ris untuk transaksi kadang  gagal membuat proses pembayaran tertunda cukup lama  Disaat itu limit saya tinggi dan ris gagal di siang menjelang sore  Tolong diperbaiki dengan kejadian yg saya alami tersebut
