CaseFolding,Tokenizing
kenapa akun kredivo saya tidak bisa digunakan untuk transaksi padahal limit masih banyak dan tidak pernah telat bayar  kecewa saya pada akhirnya  semoga bisa terselesaikan  tim analis lah yg ini dan itu  pembayaran tidak sah lakukan secara berkala  ujung  nya begitu  di perbaiki sistemnya,"['kenapa', 'akun', 'kredivo', 'saya', 'tidak', 'bisa', 'digunakan', 'untuk', 'transaksi', 'padahal', 'limit', 'masih', 'banyak', 'dan', 'tidak', 'pernah', 'telat', 'bayar', 'kecewa', 'saya', 'pada', 'akhirnya', 'semoga', 'bisa', 'terselesaikan', 'tim', 'analis', 'lah', 'yg', 'ini', 'dan', 'itu', 'pembayaran', 'tidak', 'sah', 'lakukan', 'secara', 'berkala', 'ujung', 'nya', 'begitu', 'di', 'perbaiki', 'sistemnya']"
terus terang  jt buat limit bulan tidak mencukupi  teransaksi gak terhitung semua pembayaran litrik air indihome sampai keperluan sehari bahkan sudah langganan semuanya serba otomatis  mungkin sudah lebih mengajukan kenaikan limit tapi di tolak terus  katanya kalau sering transaksi limitnya otomatis naik tapi sampai sekarang gak berubah  score level kredi juga jawara flexibel udah mentok semua tapi limit gk kunjung naik sy hanya ingin limit bulan aja yg tinggi ,"['terus', 'terang', 'jt', 'buat', 'limit', 'bulan', 'tidak', 'mencukupi', 'teransaksi', 'gak', 'terhitung', 'semua', 'pembayaran', 'litrik', 'air', 'indihome', 'sampai', 'keperluan', 'sehari', 'bahkan', 'sudah', 'langganan', 'semuanya', 'serba', 'otomatis', 'mungkin', 'sudah', 'lebih', 'mengajukan', 'kenaikan', 'limit', 'tapi', 'di', 'tolak', 'terus', 'katanya', 'kalau', 'sering', 'transaksi', 'limitnya', 'otomatis', 'naik', 'tapi', 'sampai', 'sekarang', 'gak', 'berubah', 'score', 'level', 'kredi', 'juga', 'jawara', 'flexibel', 'udah', 'mentok', 'semua', 'tapi', 'limit', 'gk', 'kunjung', 'naik', 'sy', 'hanya', 'ingin', 'limit', 'bulan', 'aja', 'yg', 'tinggi']"
akhirnya naik limit juga mau beli kuota ng ribet  lagi,"['akhirnya', 'naik', 'limit', 'juga', 'mau', 'beli', 'kuota', 'ng', 'ribet', 'lagi']"
udah download dan isi data tapi tidak bisa mengajukan pinjaman harus nunggu berbulan bulan mungkin saya tidak ditakdirkan untuk pinjol  karena saya baru pertama kalinya pinjam online dan itupun tidak di acc  tolong data saya dihapus di apk ini  jangan disalah gunakan  saya bisa laporkan ke pihak berwajib apabila data saya disalahgunakan diapk ini,"['udah', 'download', 'dan', 'isi', 'data', 'tapi', 'tidak', 'bisa', 'mengajukan', 'pinjaman', 'harus', 'nunggu', 'berbulan', 'bulan', 'mungkin', 'saya', 'tidak', 'ditakdirkan', 'untuk', 'pinjol', 'karena', 'saya', 'baru', 'pertama', 'kalinya', 'pinjam', 'online', 'dan', 'itupun', 'tidak', 'di', 'acc', 'tolong', 'data', 'saya', 'dihapus', 'di', 'apk', 'ini', 'jangan', 'disalah', 'gunakan', 'saya', 'bisa', 'laporkan', 'ke', 'pihak', 'berwajib', 'apabila', 'data', 'saya', 'disalahgunakan', 'diapk', 'ini']"
wah makin keren aja nih kredivo untuk cicilan  bulan bila masih ada limitnya kita masih bisa untuk belanja ayo teman  jangan ragu pake kredivo,"['wah', 'makin', 'keren', 'aja', 'nih', 'kredivo', 'untuk', 'cicilan', 'bulan', 'bila', 'masih', 'ada', 'limitnya', 'kita', 'masih', 'bisa', 'untuk', 'belanja', 'ayo', 'teman', 'jangan', 'ragu', 'pake', 'kredivo']"
belum waktunya jatuh tempo akun saya sudah di tangguhkan dan ketika saya bayar malah akun saya di blokir permanen dah mending yang belum lolos registrasi di kredivo mending jangan di tunggu mending di uninstal saja lagian sudah beberapa kali melakukan pinjaman limit ga naik juga  sampah mending blokir aja kredivo,"['belum', 'waktunya', 'jatuh', 'tempo', 'akun', 'saya', 'sudah', 'di', 'tangguhkan', 'dan', 'ketika', 'saya', 'bayar', 'malah', 'akun', 'saya', 'di', 'blokir', 'permanen', 'dah', 'mending', 'yang', 'belum', 'lolos', 'registrasi', 'di', 'kredivo', 'mending', 'jangan', 'di', 'tunggu', 'mending', 'di', 'uninstal', 'saja', 'lagian', 'sudah', 'beberapa', 'kali', 'melakukan', 'pinjaman', 'limit', 'ga', 'naik', 'juga', 'sampah', 'mending', 'blokir', 'aja', 'kredivo']"
kenapa tiba tiba akun saya terkunci sementara gara gara beberapa kali salah melakukan kredensial  padahal saya tidak melakukan apa apa  pin yg saya masukkan juga benar kenapa dianggap salah  kalo error terus bagaimana nanti kalo mau bayar tagihan tidak bisa pasti dianggap buruk skor kreditnya,"['kenapa', 'tiba', 'tiba', 'akun', 'saya', 'terkunci', 'sementara', 'gara', 'gara', 'beberapa', 'kali', 'salah', 'melakukan', 'kredensial', 'padahal', 'saya', 'tidak', 'melakukan', 'apa', 'apa', 'pin', 'yg', 'saya', 'masukkan', 'juga', 'benar', 'kenapa', 'dianggap', 'salah', 'kalo', 'error', 'terus', 'bagaimana', 'nanti', 'kalo', 'mau', 'bayar', 'tagihan', 'tidak', 'bisa', 'pasti', 'dianggap', 'buruk', 'skor', 'kreditnya']"
kereenn pertahankan divo utamakan pelanggam lama yg riwayat pembayarannya baik,"['kereenn', 'pertahankan', 'divo', 'utamakan', 'pelanggam', 'lama', 'yg', 'riwayat', 'pembayarannya', 'baik']"
aplikasi taikk  gua sering kaga telat bayar berkali kali limit malah kaga di naikin  asalkan gua baru telat bayar hari langsung di blokir permanen mending dapet limitnya ribu atau juta ini mah limitnya cuma udah kaya taiikk nih aplikasi nyesel gua bayar kalau tau di blokir permanen kaya gini  emang bener  aplikasi taiikk,"['aplikasi', 'taikk', 'gua', 'sering', 'kaga', 'telat', 'bayar', 'berkali', 'kali', 'limit', 'malah', 'kaga', 'di', 'naikin', 'asalkan', 'gua', 'baru', 'telat', 'bayar', 'hari', 'langsung', 'di', 'blokir', 'permanen', 'mending', 'dapet', 'limitnya', 'ribu', 'atau', 'juta', 'ini', 'mah', 'limitnya', 'cuma', 'udah', 'kaya', 'taiikk', 'nih', 'aplikasi', 'nyesel', 'gua', 'bayar', 'kalau', 'tau', 'di', 'blokir', 'permanen', 'kaya', 'gini', 'emang', 'bener', 'aplikasi', 'taiikk']"
proses cepat tanpa ribet,"['proses', 'cepat', 'tanpa', 'ribet']"
